OriginCode,DestinCode,WeekDay,HourDeparture,ModelAircraft,Duration
EKCH,EGSS,2,16,A320,89
EGSX,EGAA,2,18,A320,52
EGAA,EGSS,2,20,A320,50
EGSS,EGAA,3,12,A320,53
EGAA,EGSS,3,14,A320,52
EGSS,EHAM,4,6,A320,39
EHAM,EGSS,4,7,A320,48
EGSS,EKCH,4,14,A320,73
EKCH,EGSS,4,16,A320,88
EGSS,EGAA,4,18,A320,56
EGAA,EGSS,4,20,A320,52
EGSS,EHAM,6,6,A320,40
EHAM,EGSS,6,7,A320,44
EGSS,EKCH,6,14,A320,76
EKCH,EGSS,6,16,A320,91
EGSS,EGAA,6,18,A320,51
EGAA,EGSS,6,20,A320,51
EGSS,EHAM,2,6,A320,45
EHAM,EGSS,2,7,A320,45
EKCH,EGSS,2,16,A320,81
EGSS,EGAA,2,18,A320,55
EGAA,EGSS,2,20,A320,57
EGGP,LSGG,1,12,A320,88
EGGP,EHAM,6,17,A320,67
EHAM,EGGP,6,19,A320,58
EGGP,EGAA,2,6,A320,30
EGAA,EGGP,2,7,A320,27
EGGP,EGAA,2,15,A320,35
EGAA,EGGP,2,16,A320,27
EGGP,EHAM,4,18,A320,56
EHAM,EGGP,4,20,A320,59
EGGP,EHAM,6,17,A320,50
EHAM,EGGP,6,20,A320,57
EGGP,EGAA,7,6,A320,32
EGAA,EGGP,7,7,A320,29
LSGG,EGGP,1,14,A320,101
EGGP,EHAM,2,18,A320,51
EHAM,EGGP,2,20,A320,61
EGGP,EHAM,4,18,A320,47
EHAM,EGGP,4,19,A320,64
EGGP,LFPG,7,6,A320,57
LFPG,EGGP,7,8,A320,70
EGGP,EGAA,1,16,A320,30
EGGP,EGAA,2,6,A320,29
EGGP,EGAA,2,15,A320,34
EGAA,EGGP,2,16,A320,36
EGGP,EHAM,4,17,A320,54
EHAM,EGGP,4,19,A320,62
EGKK,EGPH,6,17,A320,59
