Name;Code;Latitude;Longitude;Altitude;Country;City
Assab Intl;"HHSB ";13.071783000000;42.645006000000;0.014020970500;Eritrea;Assab
Massawa Intl;"HHMS ";15.669989000000;39.370103000000;0.059131919040;Eritrea;Massawa
Amari;"EEEI ";59.260286000000;24.208467000000;0.019812240920;Estonia;Armari Air Force Base
Kardla;"EEKA ";58.990756000000;22.830733000000;0.005486466715;Estonia;Kardla
Kuressaare;"EEKE ";58.229883000000;22.509494000000;0.004267251890;Estonia;Kuressaare
Parnu;"EEPU ";58.419044000000;24.472819000000;0.014325774200;Estonia;Parnu
Tallinn;"EETN ";59.413317000000;24.832844000000;0.039929285540;Estonia;Tallinn-ulemiste International
Tartu;"EETU ";58.307461000000;26.690428000000;0.066752011700;Estonia;Tartu
Arba Minch;"HAAM ";6.039389000000;37.590453000000;1.187210436000;Ethiopia;Arba Minch
Asosa;"HASO ";10.018550000000;34.586253000000;1.560594977000;Ethiopia;Asosa
Axum;"HAAX ";14.146750000000;38.772833000000;2.107717630000;Ethiopia;Axum
Bahir Dar;"HABD ";11.608075000000;37.321644000000;1.821506950000;Ethiopia;Bahar Dar
Bole Intl;"HAAB ";8.977889000000;38.799319000000;2.333577176000;Ethiopia;Addis Ababa
Dire Dawa Intl;"HADR ";9.624700000000;41.854203000000;1.167093392000;Ethiopia;Dire Dawa
Gambella;"HAGM ";8.128764000000;34.563131000000;0.539807364100;Ethiopia;Gambella
Gondar;"HAGN ";12.519900000000;37.434047000000;1.993721044000;Ethiopia;Gondar
Jimma;"HAJM ";7.666094000000;36.816639000000;1.702938308000;Ethiopia;Jimma
Lalibella;"HALL ";11.975014000000;38.979969000000;1.957754206000;Ethiopia;Lalibella
Lideta;"HAAL ";9.003681000000;38.726019000000;2.361923921000;Ethiopia;Addis Ababa
Makale;"HAMK ";13.467367000000;39.533464000000;2.257376250000;Ethiopia;Makale
Mount Pleasant;"EGYP ";-51.822777000000;-58.447222000000;0.074372104360;Falkland Islands;Mount Pleasant
Vagar;"EKVG ";62.063628000000;-7.277219000000;0.085345037800;Faroe Islands;Vagar
Levuka Airfield;"NFNB ";-17.683330000000;178.833330000000;0.003352840771;Fiji;Levuka
Nadi Intl;"NFFN ";-17.755392000000;177.443378000000;0.017983418680;Fiji;Nandi
Nausori Intl;"NFNA ";-18.043267000000;178.559228000000;0.005181663009;Fiji;Nausori
Enontekio;"EFET ";68.362586000000;23.424322000000;0.306327724900;Finland;Enontekio
Eura;"EFEU ";61.116112000000;22.201389000000;0.078944159960;Finland;Eura
Halli;"EFHA ";61.856050000000;24.786600000000;0.146000975400;Finland;Halli
Hameenkyro;"EFHM ";61.689656000000;23.073744000000;0.136856864200;Finland;Hameenkyro
Hanko;"EFHN ";59.848864000000;23.083583000000;0.006096074128;Finland;Hanko
Helsinki Malmi;"EFHF ";60.254558000000;25.042828000000;0.017373811270;Finland;Helsinki
Helsinki Vantaa;"EFHK ";60.317222000000;24.963333000000;0.054559863450;Finland;Helsinki
Hyvinkaa;"EFHV ";60.654444000000;24.881111000000;0.131065593800;Finland;Hyvinkaa
Immola;"EFIM ";61.249172000000;28.903711000000;0.103023652800;Finland;Immola
Ivalo;"EFIV ";68.607269000000;27.405328000000;0.146610582800;Finland;Ivalo
Joensuu;"EFJO ";62.662906000000;29.607550000000;0.121311875200;Finland;Joensuu
Jyvaskyla;"EFJY ";62.399453000000;25.678253000000;0.139904901200;Finland;Jyvaskyla
Kajaani;"EFKI ";64.285472000000;27.692414000000;0.147220190200;Finland;Kajaani
Kauhajoki;"EFKJ ";62.462502000000;22.393055000000;0.124055108500;Finland;Kauhajoki
Kauhava;"EFKA ";63.127078000000;23.051442000000;0.046025359670;Finland;Kauhava
Kemi Tornio;"EFKE ";65.781889000000;24.599100000000;0.018593026090;Finland;Kemi
Kemijarvi;"EFKM ";66.712883000000;27.156786000000;0.210924164800;Finland;Kemijarvi
Kiikala;"EFIK ";60.462502000000;23.652500000000;0.116130212100;Finland;Kikala
Kitee;"EFIT ";62.166111000000;30.073611000000;0.110948549100;Finland;Kitee
Kittila;"EFKT ";67.701022000000;24.846850000000;0.196293586900;Finland;Kittila
Kruunupyy;"EFKK ";63.721172000000;23.143131000000;0.025603511340;Finland;Kruunupyy
Kuopio;"EFKU ";63.007150000000;27.797756000000;0.098451597170;Finland;Kuopio
Kuusamo;"EFKS ";65.987575000000;29.239381000000;0.263960009800;Finland;Kuusamo
Lahti Vesivehmaa;"EFLA ";61.144158000000;25.693508000000;0.153011460600;Finland;Vesivehmaa
Lappeenranta;"EFLP ";61.044553000000;28.144397000000;0.106376493500;Finland;Lappeenranta
Mariehamn;"EFMA ";60.122203000000;19.898156000000;0.005181663009;Finland;Mariehamn
Menkijarvi;"EFME ";62.946667000000;23.518889000000;0.100890026800;Finland;Menkijarvi
Mikkeli;"EFMI ";61.686600000000;27.201794000000;0.100280419400;Finland;Mikkeli
Nummela;"EFNU ";60.333889000000;24.296389000000;0.111862960300;Finland;Nummela
Oulu;"EFOU ";64.930061000000;25.354564000000;0.014325774200;Finland;Oulu
Piikajarvi;"EFPI ";61.245558000000;22.193356000000;0.045110948550;Finland;Piikajarvi
Pori;"EFPO ";61.461686000000;21.799983000000;0.013411363080;Finland;Pori
Pudasjarvi;"EFPU ";65.402222000000;26.946944000000;0.121007071400;Finland;Pudasjarvi
Pyhasalmi;"EFPY ";63.731917000000;25.926306000000;0.160936357000;Finland;Pyhasalmi
Raahe Pattijoki;"EFRH ";64.688056000000;24.695833000000;0.035966837360;Finland;Pattijoki
Rantasalmi;"EFRN ";62.065481000000;28.356494000000;0.089002682270;Finland;Rantasalmi
Rayskala;"EFRY ";60.744722000000;24.107778000000;0.124055108500;Finland;Rayskala
Rovaniemi;"EFRO ";66.564822000000;25.830411000000;0.195683979500;Finland;Rovaniemi
Savonlinna;"EFSA ";61.943064000000;28.945136000000;0.094793952690;Finland;Savonlinna
Selanpaa;"EFSE ";61.062389000000;26.798861000000;0.127103145600;Finland;Selanpaa
Sodankyla;"EFSO ";67.395033000000;26.619133000000;0.183491831300;Finland;Sodankyla
Tampere Pirkkala;"EFTP ";61.414147000000;23.604392000000;0.118873445500;Finland;Tampere
Teisko;"EFTS ";61.773350000000;24.027006000000;0.156973908800;Finland;Teisko
Turku;"EFTU ";60.514142000000;22.262808000000;0.049073396730;Finland;Turku
Utti;"EFUT ";60.896394000000;26.938353000000;0.103328456500;Finland;Utti
Vaasa;"EFVA ";63.050650000000;21.762175000000;0.005791270422;Finland;Vaasa
Varkaus;"EFVR ";62.171111000000;27.868611000000;0.087173860030;Finland;Varkaus
Ylivieska;"EFYL ";64.060547000000;24.715953000000;0.076810534020;Finland;Ylivieska-raudaskyla
Abbeville;"LFOI ";50.143492000000;1.831892000000;0.067056815410;France;Abbeville
Aire Sur L Adour;"LFDA ";43.709444000000;-0.245278000000;0.078944159960;France;Aire-sur-l´adour
Aix Les Bains;"LFLB ";45.638050000000;5.880225000000;0.237442087300;France;Chambery
Aix Les Milles;"LFMA ";43.505554000000;5.367778000000;0.111862960300;France;Aix-les-milles
Amberieu;"LFXA ";45.987335000000;5.328445000000;0.250853450400;France;Amberieu
Ancenis;"LFFI ";47.408056000000;-1.177500000000;0.033833211410;France;Ancenis
Anglet;"LFBZ ";43.468419000000;-1.523325000000;0.074676908070;France;Biarritz-bayonne
Annemasse;"LFLI ";46.191972000000;6.268386000000;0.493782004400;France;Annemasse
Antichan;"LFCG ";43.007764000000;1.103150000000;0.416971470400;France;St.-girons
Ardeche Meridionale;"LFHO ";44.544236000000;4.372192000000;0.281333821000;France;Aubenas-vals-lanas
Armor;"LFRT ";48.537777000000;-2.854445000000;0.138076079000;France;St.-brieuc Armor
Arnage;"LFRM ";47.948611000000;0.201667000000;0.059131919040;France;Le Mans
Artigues De Lussac;"LFDI ";44.982498000000;-0.134722000000;0.047854181910;France;Libourne
Aubigny Sur Nere;"LFEH ";47.474167000000;2.393055000000;0.192026335000;France;Aubigny-sur-nere
Aurillac;"LFLW ";44.891388000000;2.421944000000;0.638868568600;France;Aurillac
Auvergne;"LFLC ";45.786661000000;3.169169000000;0.332236040000;France;Clermont-Ferrand
