PeriodStart;PeriodEnd;AircraftId;AircraftModel;NumFlights
25/09/2013 18:09:58;27/09/2013 18:09:58;1252;A319;4
23/09/2013 13:11:51;25/09/2013 13:11:51;1625;A320;4
25/09/2013 14:10:34;27/09/2013 14:10:34;1846;A319;6
10/09/2013 19:02:44;12/09/2013 19:02:44;2260;A320;2
22/09/2013 18:46:59;24/09/2013 18:46:59;1271;A319;8
18/09/2013 20:16:32;20/09/2013 20:16:32;1396;A319;4
14/09/2013 12:55:55;16/09/2013 12:55:55;628;A320;2
09/09/2013 13:52:49;11/09/2013 13:52:49;1972;A319;2
28/09/2013 05:27:56;30/09/2013 05:27:56;590;A320;3
12/09/2013 05:33:47;14/09/2013 05:33:47;2378;A319;3
10/09/2013 17:15:42;12/09/2013 17:15:42;467;A320;4
26/09/2013 12:44:42;28/09/2013 12:44:42;1862;A319;6
04/09/2013 09:30:52;06/09/2013 09:30:52;949;A319;1
12/09/2013 17:30:56;14/09/2013 17:30:56;1551;A320;2
04/09/2013 14:22:52;06/09/2013 14:22:52;1512;A320;1
29/09/2013 20:40:40;01/10/2013 20:40:40;859;A319;3
12/09/2013 05:25:52;14/09/2013 05:25:52;2333;A320;4
04/09/2013 18:01:45;06/09/2013 18:01:45;1305;A319;1
15/09/2013 18:36:41;17/09/2013 18:36:41;1462;A319;3
22/09/2013 16:12:57;24/09/2013 16:12:57;1107;A320;5
23/09/2013 05:35:44;25/09/2013 05:35:44;1776;A319;5
26/09/2013 19:04:42;28/09/2013 19:04:42;1010;A320;4
24/09/2013 06:15:54;26/09/2013 06:15:54;1837;A319;4
05/09/2013 18:22:44;07/09/2013 18:22:44;2230;A320;3
29/09/2013 15:59:40;01/10/2013 15:59:40;579;A319;2
26/09/2013 05:28:55;28/09/2013 05:28:55;1187;A319;4
22/09/2013 12:31:45;24/09/2013 12:31:45;887;A319;4
17/09/2013 13:47:44;19/09/2013 13:47:44;2047;A320;7
25/09/2013 18:10:46;27/09/2013 18:10:46;333;A319;8
07/09/2013 04:02:55;09/09/2013 04:02:55;806;A319;1
08/09/2013 18:56:49;10/09/2013 18:56:49;732;A319;4
09/09/2013 18:40:58;11/09/2013 18:40:58;984;A320;5
15/09/2013 15:50:39;17/09/2013 15:50:39;1981;A319;4
08/09/2013 12:35:03;10/09/2013 12:35:03;600;A319;1
16/09/2013 06:51:59;18/09/2013 06:51:59;1332;A319;4
15/09/2013 12:35:47;17/09/2013 12:35:47;640;A319;2
09/09/2013 06:57:53;11/09/2013 06:57:53;601;A319;3
24/09/2013 19:35:52;26/09/2013 19:35:52;955;A319;9
09/09/2013 19:17:55;11/09/2013 19:17:55;1130;A320;1
10/09/2013 15:38:53;12/09/2013 15:38:53;1308;A319;4
15/09/2013 19:22:54;17/09/2013 19:22:54;658;A319;6
17/09/2013 07:43:49;19/09/2013 07:43:49;1404;A320;3
19/09/2013 20:07:45;21/09/2013 20:07:45;623;A320;4
11/09/2013 18:57:55;13/09/2013 18:57:55;1020;A320;2
15/09/2013 14:00:41;17/09/2013 14:00:41;585;A319;7
27/09/2013 15:41:41;29/09/2013 15:41:41;2358;A319;6
29/09/2013 12:16:53;01/10/2013 12:16:53;1950;A320;3
15/09/2013 15:14:53;17/09/2013 15:14:53;2294;A319;2
