OriginCode;DestinCode;WeekDay;HourDeparture;ModelAircraft;FlightDuration
EGAA ;EGAA ;1;14;A319;297.55
EGGW ;EGGW ;1;14;A319;147.43333333333334
EKCH ;EGCC ;1;14;A319;98.93333333333334
EGPF ;EHAM ;1;14;A319;68.05
EGNT ;EGNT ;1;14;A319;326.95
EGKK ;EGKK ;1;14;A319;165.71666666666667
EGPH ;EGSS ;1;15;A319;247.75
LFPG ;EGAA ;1;15;A319;82.4
EGGW ;EGGW ;1;15;A319;167.06666666666666
EGAA ;EGAA ;1;15;A319;335.3333333333333
EGGW ;LFPG ;1;15;A319;57.96666666666667
EGMC ;EGMC ;1;15;A319;121.11666666666666
EGPF ;EGPF ;1;15;A319;350.5
EDDH ;EGGW ;1;15;A320;63.983333333333334
EGGD ;EGGD ;1;15;A319;149.96666666666667
EGGW ;EHAM ;1;15;A319;43.983333333333334
EGGP ;LFPG ;1;15;A319;74.55
EGGD ;EGGD ;1;15;A319;352.1166666666667
EGKK ;EHAM ;1;15;A319;53.28333333333333
EGSS ;EGSS ;1;15;A319;122.56666666666666
EGGP ;EGGP ;1;15;A319;100.1
EGNS ;EGKK ;1;15;A319;57.11666666666667
EGAA ;EGAA ;1;15;A319;106.86666666666666
EGNT ;EGNT ;1;16;A319;312.0
EGPF ;EGKK ;1;16;A319;67.93333333333334
EKCH ;EGKK ;1;16;A319;93.88333333333334
EGNS ;EGGP ;1;16;A319;18.733333333333334
EGKK ;EGAA ;1;16;A319;62.233333333333334
EGPH ;EGPH ;1;16;A319;250.01666666666668
LFPG ;LFPG ;1;16;A319;177.6
EGPH ;EGSS ;1;16;A319;158.76666666666668
EBBR ;LIMN ;1;17;A319;54.2
EGKK ;EGKK ;1;17;A319;160.85
EHAM ;EGGW ;1;17;A319;39.7
EGKK ;EGKK ;1;17;A320;216.91666666666666
EHAM ;EGKK ;1;17;A319;44.21666666666667
EGAA ;EGKK ;1;17;A319;57.0
EGKK ;EGKK ;1;17;A319;196.9
EGGW ;EHAM ;1;18;A320;44.9
EGGW ;EGGW ;1;18;A319;156.48333333333332
EGKK ;EHAM ;1;18;A319;47.233333333333334
EGKK ;EGKK ;1;18;A319;168.4
EGKK ;EGKK ;1;18;A319;179.53333333333333
EGPF ;EGPF ;1;18;A319;91.18333333333334
EGPF ;EGPF ;1;18;A319;142.96666666666667
EGNT ;EGNT ;1;19;A320;113.13333333333334
EGAA ;EGAA ;1;19;A319;112.03333333333333
EGJJ ;EGMC ;1;19;A319;38.916666666666664
EGKK ;EKCH ;1;19;A319;84.65
EGKK ;EGGP ;1;19;A319;141.8
EHAM ;EGGW ;1;20;A320;38.0
;EGKK ;1;20;A319;57.8
EGCC ;EGCC ;1;20;A319;117.71666666666667
EGKK ;EGAA ;1;20;A319;58.916666666666664
LFPG ;EGGW ;1;20;A319;44.61666666666667
LIMN ;EGKK ;1;21;A319;82.81666666666666
EHAM ;EGKK ;1;22;A319;46.55
EHVB ;EGGP ;1;22;A319;50.63333333333333
EGGP ;EGAA ;1;23;A319;30.133333333333333
LIMC ;LIMN ;2;4;A319;178.76666666666668
LIMC ;LFPG ;2;4;A320;64.96666666666667
EGGW ;LFPG ;2;5;A319;50.25
EGGW ;EGGW ;2;5;A319;346.9166666666667
LFPG ;LFPG ;2;5;A319;175.93333333333334
EGKK ;LFMN ;2;5;A319;93.2
EGAA ;EGSS ;2;5;A319;56.56666666666667
EGGP ;EGGP ;2;5;A319;331.9166666666667
EGPH ;EGKK ;2;5;A319;68.23333333333333
EGPF ;EGPF ;2;5;A319;292.8666666666667
LIMC ;LIMN ;2;5;A319;210.91666666666666
EGAA ;EGKK ;2;5;A319;62.833333333333336
EGGD ;EGNT ;2;5;A319;47.483333333333334
EGKK ;EGKK ;2;5;A320;149.58333333333334
EGGD ;EGPH ;2;5;A320;55.016666666666666
EGPH ;EGSS ;2;5;A320;262.73333333333335
EGAA ;EGGW ;2;5;A319;48.8
EGNT ;EGNT ;2;5;A319;119.75
EGGP ;EGGP ;2;5;A319;104.95
EGGW ;EGPF ;2;6;A319;55.0
EGPF ;EGGW ;2;6;A319;54.1
EGPH ;EGPH ;2;6;A319;101.43333333333334
EGAA ;EGAA ;2;6;A319;131.71666666666667
EGAA ;EGAA ;2;6;A319;142.58333333333334
EGPH ;EGGW ;2;6;A320;58.516666666666666
EGCC ;EGCC ;2;6;A320;171.3
EGMC ;EGMC ;2;6;A319;160.21666666666667
EGPF ;EGAA ;2;6;A319;26.283333333333335
EGSS ;EGSS ;2;6;A319;127.7
EGNT ;EGGD ;2;6;A320;54.016666666666666
EGGW ;EGGW ;2;6;A319;167.8
EGKK ;EGKK ;2;6;A319;204.93333333333334
EGPF ;EGKK ;2;6;A320;59.6
EGGD ;EGGD ;2;6;A319;153.65
EGKK ;EGKK ;2;6;A319;197.68333333333334
LFPG ;EGGW ;2;6;A319;48.86666666666667
EGSS ;EGSS ;2;7;A319;206.5
EGGP ;LFMN ;2;7;A319;118.88333333333334
EGKK ;EGKK ;2;7;A319;146.73333333333332
EGKK ;EGAA ;2;7;A319;67.66666666666667
EGAA ;EGGD ;2;7;A319;52.15
EGDG ;EGMC ;2;7;A319;51.81666666666667
LSZH ;EGKK ;2;8;A319;76.98333333333333
;EGKK ;2;8;A319;53.78333333333333
EGAA ;EGAA ;2;8;A319;186.63333333333333
EKCH ;EGKK ;2;8;A319;95.01666666666667
LFPO ;LIML ;2;8;A320;60.416666666666664
LFBD ;EGGW ;2;9;A319;78.78333333333333
LIMC ;EHAM ;2;9;A319;97.88333333333334
LFML ;EGKK ;2;9;A319;86.66666666666667
LSGG ;EGCC ;2;10;A320;86.01666666666667
LFPG ;EGGW ;2;10;A319;186.53333333333333
EGKK ;LFBD ;2;11;A319;69.78333333333333
EGSS ;EGPH ;2;11;A320;53.25
LSGG ;EGPH ;2;11;A319;107.78333333333333
LFML ;EGGD ;2;11;A319;96.76666666666667
EGSS ;EGSS ;2;11;A319;155.68333333333334
EGPF ;EGKK ;2;11;A319;71.91666666666667
EGGP ;LFBD ;2;11;A319;94.58333333333333
EGGW ;LSZH ;2;12;A319;72.45
LFPG ;LIMN ;2;12;A319;54.416666666666664
EGGP ;EGAA ;2;12;A319;32.15
EKCH ;EGCC ;2;12;A320;98.75
EGSS ;EGSS ;2;12;A320;156.51666666666668
EGKK ;EKCH ;2;12;A319;82.21666666666667
EGPH ;LFPG ;2;12;A319;87.95
LIMC ;EGKK ;2;12;A319;82.38333333333334
EGPH ;LFMN ;2;12;A319;144.13333333333333
EGKK ;LIML ;2;12;A319;75.66666666666667
EGMC ;EGMC ;2;12;A319;165.55
EGGW ;EGPF ;2;12;A319;51.93333333333333
EGAA ;EGKK ;2;12;A319;61.016666666666666
LIMC ;EGPH ;2;13;A320;124.05
EGKK ;EGPF ;2;13;A320;473.35
EGGW ;EDDH ;2;13;A319;63.05
EGKK ;EGKK ;2;13;A320;181.78333333333333
EGKK ;EGKK ;2;13;A319;155.11666666666667
LIMC ;LFPG ;2;13;A320;65.41666666666667
EKCH ;LFPG ;2;14;A319;95.0
EGSS ;EKCH ;2;14;A319;76.21666666666667
EGGW ;EGGW ;2;14;A320;154.76666666666668
LSZH ;EGGW ;2;14;A319;80.1
EGGW ;EGGW ;2;14;A319;160.85
EGGD ;EGGD ;2;14;A320;165.88333333333333
LIMC ;EHAM ;2;14;A319;80.25
EGPF ;EHAM ;2;14;A319;68.1
EGGP ;EGGP ;2;14;A319;83.83333333333333
EKCH ;EGKK ;2;14;A319;104.05
LIMC ;EGKK ;2;14;A319;84.55
LFPG ;EGKK ;2;15;A319;195.91666666666666
EGAA ;EHAM ;2;15;A319;77.36666666666666
LSGG ;EGKK ;2;15;A320;75.83333333333333
EGMC ;EGMC ;2;15;A319;304.98333333333335
EGGD ;EGGD ;2;15;A319;153.0
EGSS ;EGSS ;2;15;A319;263.3333333333333
EGKK ;EGKK ;2;15;A319;151.98333333333332
EDDH ;EGGW ;2;15;A319;273.03333333333336
EGGD ;EGPH ;2;15;A319;51.95
EGGP ;EGGP ;2;15;A319;109.1
EGNS ;EGKK ;2;15;A319;57.733333333333334
EGGP ;LFPG ;2;15;A319;64.78333333333333
EGGW ;EGGW ;2;15;A319;145.05
EDDH ;EGCC ;2;15;A319;74.76666666666667
EGNT ;EGNT ;2;15;A319;105.86666666666666
LIMC ;EBBR ;2;16;A319;65.81666666666666
EGAA ;EGAA ;2;16;A319;105.01666666666667
EGSS ;EHAM ;2;16;A319;38.88333333333333
EGPH ;EHAM ;2;16;A320;145.1
LFPG ;LFPG ;2;16;A319;184.33333333333334
EGGP ;EGGP ;2;16;A319;165.86666666666667
EDLN ;EGPF ;2;16;A319;175.11666666666667
EGKK ;EGKK ;2;16;A319;173.06666666666666
EHAM ;EGPF ;2;16;A319;263.03333333333336
EGGW ;LSGG ;2;17;A319;89.08333333333333
LIMC ;LIMN ;2;17;A319;204.41666666666666
LFPG ;EGGD ;2;17;A319;51.21666666666667
EGAA ;EGAA ;2;17;A319;130.76666666666668
EGKK ;LFBZ ;2;17;A320;77.76666666666667
EHAM ;EGAA ;2;17;A319;78.81666666666666
LIMC ;LFPG ;2;17;A319;64.68333333333334
EGPH ;EGGD ;2;17;A319;54.05
EGGW ;EGGW ;2;17;A319;340.18333333333334
EGKK ;LSMD ;2;18;A319;70.81666666666666
EDLW ;EGGW ;2;18;A319;58.93333333333333
EGGW ;LIMN ;2;18;A319;85.08333333333333
EGCC ;EGCC ;2;18;A319;162.0
EGKK ;EHAM ;2;18;A320;46.93333333333333
EGGW ;EGGW ;2;18;A319;171.03333333333333
EGCC ;EGCC ;2;18;A319;123.3
EGKK ;EGKK ;2;18;A319;165.68333333333334
EGSS ;EGAA ;2;18;A319;48.9
EKCH ;LIMN ;2;18;A319;90.2
EGPF ;EGPF ;2;18;A319;95.51666666666667
EGPH ;EGKK ;2;18;A319;67.76666666666667
EGPH ;EGPH ;2;19;A319;150.9
LSGG ;LFPO ;2;19;A320;48.45
LIMC ;LFPG ;2;19;A319;69.1
EGGP ;EGGP ;2;19;A319;104.15
EGAA ;EGGW ;2;19;A319;48.766666666666666
LSGG ;EGKK ;2;19;A319;66.86666666666666
LIPZ ;EGKK ;2;19;A319;100.73333333333333
LFPO ;LFMN ;2;19;A320;64.11666666666666
EHAM ;EGPH ;2;19;A320;72.05
EHAM ;EGKK ;2;20;A320;42.78333333333333
LFPG ;EGPH ;2;20;A319;75.93333333333334
EGKK ;EGAA ;2;20;A319;60.9
ETSE ;EGKK ;2;20;A319;92.9
LIMC ;EGKK ;2;20;A319;84.71666666666667
EGNT ;EGGD ;2;20;A319;48.9
LIMC ;EGGW ;2;20;A319;92.18333333333334
EGGD ;EGAA ;2;20;A319;51.95
LIMC ;LFPG ;3;4;A320;64.01666666666667
LIMC ;LIMN ;3;4;A319;175.45
EKCH ;EGKK ;3;4;A319;94.0
EGGW ;EHAM ;3;5;A319;44.03333333333333
EGAA ;EGKK ;3;5;A319;254.43333333333334
EGKK ;EHAM ;3;5;A319;65.28333333333333
EGGW ;EGGW ;3;5;A319;162.75
LIMC ;EHAM ;3;5;A320;91.98333333333333
EGPF ;EGAA ;3;5;A319;236.48333333333332
EGGD ;EGNT ;3;5;A319;48.983333333333334
EGPH ;EGKK ;3;5;A319;72.0
EGGD ;EGPH ;3;5;A320;51.75
EGGP ;EGGP ;3;5;A319;320.6166666666667
LIMC ;EGKK ;3;5;A319;85.78333333333333
EGAA ;EGAA ;3;5;A319;131.8
EGAA ;EGGW ;3;6;A319;50.81666666666667
EGNT ;EGNT ;3;6;A319;109.73333333333333
EGGW ;LFPG ;3;6;A319;183.71666666666667
EGPF ;EGPF ;3;6;A319;99.03333333333333
EGPF ;EGGW ;3;6;A319;52.71666666666667
EGPH ;EGPH ;3;6;A319;107.95
EGGP ;EGGP ;3;6;A319;102.91666666666667
EGNT ;EGGD ;3;6;A319;43.96666666666667
EGSS ;EGSS ;3;6;A320;138.28333333333333
EGGD ;EGGD ;3;6;A319;162.66666666666666
EGPF ;EGKK ;3;6;A320;65.35
EGPH ;EGGW ;3;6;A319;58.71666666666667
EGKK ;EGKK ;3;6;A319;208.9
EGMC ;EGMC ;3;6;A319;126.76666666666667
EGKK ;     ;3;6;A319;44.25
EGKK ;LSZH ;3;6;A320;69.35
EGKK ;EGKK ;3;6;A319;201.65
EGCC ;EGCC ;3;6;A320;432.65
LFBZ ;LFPG ;3;7;A319;62.333333333333336
EGAA ;EGAA ;3;7;A319;118.4
EHAM ;EGGW ;3;7;A319;226.06666666666666
EGKK ;EHAM ;3;7;A319;59.983333333333334
EHAM ;EGKK ;3;7;A319;45.6
EGKK ;EGAA ;3;7;A319;80.51666666666667
EGAA ;EGGD ;3;7;A319;46.766666666666666
EDLA ;EGGW ;3;7;A319;65.08333333333333
EGKK ;EGSS ;3;7;A319;153.41666666666666
EKCH ;EGSS ;3;8;A319;83.11666666666666
EGKK ;LIPE ;3;9;A319;101.03333333333333
EHAM ;EGKK ;3;9;A319;44.03333333333333
LIMC ;LIMN ;3;9;A319;202.81666666666666
LOWI ;EGKK ;3;9;A320;92.81666666666666
EGKK ;LFPG ;3;10;A319;211.63333333333333
EGKK ;EGKK ;3;11;A319;192.36666666666667
